Word,Description,Hint
도형,"점 선 면으로 이루어진 기하학적 형태로 수학에서 공간과 모양을 연구하는 기본 대상이 되는 이것은 무엇일까요?",앞글자 '도'
기업,"영리를 목적으로 재화나 서비스를 생산하고 판매하는 조직으로 경제활동의 핵심 주체가 되는 이것은 무엇일까요?",앞글자 '기'
고객,"상품이나 서비스를 구매하는 소비의 주체로 기업의 수익 창출에 직접적인 영향을 미치는 이들은 누구일까요?",앞글자 '고'
품질,"제품이나 서비스가 가진 유용한 특성의 총체로 소비자 만족도를 결정하는 중요한 요소인 이것은 무엇일까요?",앞글자 '품'
영업,"기업이 이윤을 얻기 위해 상품이나 서비스를 판매하는 활동으로 수익 창출의 핵심이 되는 이것은 무엇일까요?",앞글자 '영'
전략,"기업이나 조직이 목표를 달성하기 위해 수립하는 장기적이고 포괄적인 계획으로 성공적인 경영의 핵심이 되는 이것은 무엇일까요?",앞글자 '전'
수출,"국내에서 생산한 상품이나 서비스를 외국에 판매하는 무역 활동으로 외화 획득의 주요 수단이 되는 이것은 무엇일까요?",앞글자 '수'
수입,"외국에서 생산된 상품이나 서비스를 국내로 들여오는 무역 활동으로 국내 수요를 충족시키는 이것은 무엇일까요?",앞글자 '수'
환율,"한 나라의 화폐와 다른 나라의 화폐를 교환할 때 적용되는 비율로 국제 거래의 기준이 되는 이것은 무엇일까요?",앞글자 '환'
투자자,"수익을 얻을 목적으로 자금을 운용하는 사람으로 주식이나 부동산 등에 자금을 투입하는 이들을 무엇이라고 할까요?",앞글자 '투'
채권,"미래에 일정한 이자와 원금을 받을 권리가 있는 유가증권으로 정부나 기업이 자금을 조달하기 위해 발행하는 이것은 무엇일까요?",앞글자 '채'
펀드,"여러 투자자의 자금을 모아 전문가가 주식 채권 등에 투자하여 운용하는 금융상품으로 분산투자가 가능한 이것은 무엇일까요?",앞글자 '펀'
수수료,"금융 거래나 서비스 이용에 대한 대가로 지불하는 비용으로 중개인이나 서비스 제공자가 받는 이것은 무엇일까요?",앞글자 '수'
자산,"개인이나 기업이 보유한 경제적 가치가 있는 모든 것을 총칭하는 것으로 미래의 경제적 이익을 창출할 수 있는 이것은 무엇일까요?",앞글자 '자'
부채,"개인이나 기업이 외부에 갚아야 할 채무를 의미하는 것으로 자산의 반대 개념인 이것은 무엇일까요?",앞글자 '부'
대출,"금융기관으로부터 일정 기간 동안 자금을 빌리고 이자를 지급하는 금융 거래로 신용이나 담보를 기반으로 하는 이것은 무엇일까요?",앞글자 '대'
보험,"미래의 불확실한 위험에 대비하여 많은 사람들이 보험료를 납부하고 사고 발생 시 보상을 받는 제도로 위험을 분산하는 이것은 무엇일까요?",앞글자 '보'
카드,"현금을 대신하여 물건을 구매하거나 서비스를 이용할 수 있는 지불 수단으로 신용카드나 체크카드 형태의 이것은 무엇일까요?",앞글자 '카'
통장,"은행 거래의 내역과 잔액을 기록하는 장부로 입출금과 거래 내역을 확인할 수 있는 이것은 무엇일까요?",앞글자 '통'
경제,"인간의 물질적 욕망을 충족시키기 위한 모든 생산 분배 소비 활동을 포괄하는 것으로 사회의 기반이 되는 이것은 무엇일까요?",앞글자 '경'
가격,"상품이나 서비스의 교환 가치를 화폐로 표시한 것으로 수요와 공급에 의해 결정되는 이것은 무엇일까요?",앞글자 '가'
소비,"인간의 욕구를 충족시키기 위해 재화나 서비스를 사용하는 경제 활동으로 생산의 최종 목적이 되는 이것은 무엇일까요?",앞글자 '소'
생산,"인간의 욕구를 충족시키기 위해 재화나 서비스를 만들어내는 활동으로 경제의 기본이 되는 이것은 무엇일까요?",앞글자 '생'
이익,"총수입에서 총비용을 뺀 차액으로 기업 활동의 성과를 나타내는 이것은 무엇일까요?",앞글자 '이'
손실,"총비용이 총수입보다 많아 발생하는 금전적 손해로 기업 활동의 부정적 결과를 나타내는 이것은 무엇일까요?",앞글자 '손'
마케팅,"제품이나 서비스를 효과적으로 소비자에게 알리고 판매하기 위한 모든 활동으로 시장 조사부터 판매 전략까지 포함하는 이것은 무엇일까요?",앞글자 '마'
서비스,"고객의 필요와 욕구를 충족시키기 위해 제공하는 무형의 활동이나 편익으로 품질과 만족도가 중요한 이것은 무엇일까요?",앞글자 '서'
광고,"상품이나 서비스를 알리기 위해 다양한 매체를 통해 정보를 전달하는 활동으로 소비자의 구매 결정에 영향을 미치는 이것은 무엇일까요?",앞글자 '광'
계약,"둘 이상의 당사자가 서로의 권리와 의무를 약속하고 문서화하는 법적 행위로 거래의 기초가 되는 이것은 무엇일까요?",앞글자 '계'
무역,"국가 간에 상품이나 서비스를 사고파는 경제 활동으로 수출과 수입을 포함하는 이것은 무엇일까요?",앞글자 '무'
관세,"외국에서 물건을 수입할 때 국가에 내야 하는 세금으로 국내 산업 보호를 위해 부과되는 이것은 무엇일까요?",앞글자 '관'
무역수지,"일정 기간 동안의 수출액과 수입액의 차이를 나타내는 경제 지표로 국가 간 거래의 균형을 보여주는 이것은 무엇일까요?",앞글자 '무'
달러,"국제 거래에서 가장 널리 사용되는 미국의 화폐 단위로 기축통화로 불리는 이것은 무엇일까요?",앞글자 '달'
퍼센트,"어떤 수를 100분의 1 단위로 나타내는 방식으로 %기호로 표시되는 이것은 무엇일까요?",앞글자 '퍼'
그래프,"수치나 자료를 시각적으로 표현하는 도표로 정보를 한눈에 파악할 수 있게 해주는 이것은 무엇일까요?",앞글자 '그'
평균,"여러 수를 더해서 전체 개수로 나눈 값으로 대표값을 구할 때 사용하는 이것은 무엇일까요?",앞글자 '평'
비율,"두 수의 크기를 비교하여 나타낸 관계로 백분율로도 표현할 수 있는 이것은 무엇일까요?",앞글자 '비'
순서,"사물이나 사건이 일정한 차례대로 늘어선 것으로 크기나 시간에 따라 배열하는 이것은 무엇일까요?",앞글자 '순'
임대료,"건물이나 토지를 빌려 쓸 때 정기적으로 지불하는 비용으로 부동산 사용의 대가인 이것은 무엇일까요?",앞글자 '임'
전세,"집주인에게 일정 금액을 맡기고 일정 기간 동안 집을 빌려 사는 제도로 계약 만료 시 돌려받는 이것은 무엇일까요?",앞글자 '전'
월세,"매달 정기적으로 집주인에게 지불하는 주거 비용으로 주택 임대의 가장 일반적인 형태인 이것은 무엇일까요?",앞글자 '월'
부동산,"토지와 그 토지에 부착된 건물 등 움직일 수 없는 재산으로 실물 자산의 대표적인 형태인 이것은 무엇일까요?",앞글자 '부'
시세,"부동산이나 주식 등의 현재 거래 가격으로 시장에서 형성되는 가격 수준을 나타내는 이것은 무엇일까요?",앞글자 '시'
등기,"부동산의 소유권과 권리관계를 공적으로 기록하는 제도로 재산권을 보호하는 이것은 무엇일까요?",앞글자 '등'
재산세,"토지, 건물 등 재산을 보유한 사람이 납부하는 세금으로 지방세의 한 종류인 이것은 무엇일까요?",앞글자 '재'
부가세,"상품이나 서비스의 거래 과정에서 발생하는 부가가치에 대해 부과되는 세금으로 최종 소비자가 부담하는 이것은 무엇일까요?",앞글자 '부'
소득세,"개인이나 법인이 벌어들인 소득에 대해 부과되는 세금으로 누진세율이 적용되는 이것은 무엇일까요?",앞글자 '소'
세금,"국가나 지방자치단체가 공공서비스를 제공하기 위해 국민들로부터 걷는 돈으로 납세의무에 따라 내는 이것은 무엇일까요?",앞글자 '세'
신고,"세금이나 소득 등을 정부나 관련 기관에 공식적으로 알리는 행위로 법적 의무인 이것은 무엇일까요?",앞글자 '신'
공제,"과세 대상이 되는 소득에서 일정 금액을 빼주어 세금 부담을 줄여주는 제도로 세금 감면 효과가 있는 이것은 무엇일까요?",앞글자 '공'
창업,"새로운 사업을 시작하여 기업을 설립하는 것으로 경제 활성화와 일자리 창출에 기여하는 이것은 무엇일까요?",앞글자 '창'
사업계획,"창업이나 사업 운영을 위한 구체적인 전략과 목표를 담은 문서로 성공적인 사업 수행의 로드맵이 되는 이것은 무엇일까요?",앞글자 '사'
자본금,"사업을 시작하거나 운영하는데 필요한 기초 자금으로 회사 설립 시 반드시 필요한 이것은 무엇일까요?",앞글자 '자'
매출,"기업이 상품이나 서비스를 판매하여 얻은 총수입으로 기업의 영업 규모를 나타내는 이것은 무엇일까요?",앞글자 '매'
원가,"제품이나 서비스를 생산하는데 들어가는 모든 비용으로 적정 가격 설정의 기준이 되는 이것은 무엇일까요?",앞글자 '원'
경쟁사,"같은 업종에서 비슷한 제품이나 서비스를 제공하는 다른 기업으로 시장에서 경쟁 관계에 있는 이것은 무엇일까요?",앞글자 '경'
급여,"근로자가 노동의 대가로 받는 보수로 정기적으로 지급되는 이것은 무엇일까요?",앞글자 '급'
월급,"매월 정기적으로 받는 급여로 직장인의 주된 수입원이 되는 이것은 무엇일까요?",앞글자 '월'
연봉,"1년 동안 받는 급여의 총액으로 상여금과 수당을 포함한 이것은 무엇일까요?",앞글자 '연'
퇴직금,"근로자가 퇴직할 때 받는 일시금으로 근속연수에 비례하여 지급되는 이것은 무엇일까요?",앞글자 '퇴'
복리후생,"회사가 직원들의 생활 안정과 복지를 위해 제공하는 각종 혜택으로 급여 외 추가 지원인 이것은 무엇일까요?",앞글자 '복'
야근,"정규 근무시간 이후에도 계속해서 일하는 것으로 추가 수당이 발생하는 이것은 무엇일까요?",앞글자 '야'
성과금,"목표 달성이나 우수한 실적에 대한 보상으로 지급되는 추가 급여로 인센티브라고도 하는 이것은 무엇일까요?",앞글자 '성'
보고서,"업무나 연구 결과를 정리하여 문서화한 것으로 정보 전달과 의사결정에 활용되는 이것은 무엇일까요?",앞글자 '보'
회의,"여러 사람이 모여 의견을 교환하고 의사결정을 하는 모임으로 업무 협의에 필수적인 이것은 무엇일까요?",앞글자 '회'
실적,"기업이나 개인이 이룬 업무 성과나 결과로 평가의 기준이 되는 이것은 무엇일까요?",앞글자 '실'
자료,"의사결정이나 연구에 필요한 정보를 담은 것으로 문서나 데이터 형태의 이것은 무엇일까요?",앞글자 '자'
목표,"달성하고자 하는 구체적인 결과나 상태로 업무 수행의 방향을 제시하는 이것은 무엇일까요?",앞글자 '목'
가상화폐,"블록체인 기술을 기반으로 한 디지털 화폐로 비트코인으로 대표되는 이것은 무엇일까요?",앞글자 '가'
위험성,"투자나 사업에서 손실이 발생할 수 있는 가능성으로 리스크라고도 하는 이것은 무엇일까요?",앞글자 '위
분산투자,"투자 위험을 줄이기 위해 여러 상품에 나누어 투자하는 전략으로 안정적인 수익을 추구하는 이것은 무엇일까요?",앞글자 '분'
장기투자,"오랜 기간 동안 투자 자산을 보유하는 전략으로 시장 변동성을 극복하는 이것은 무엇일까요?",앞글자 '장'
단기투자,"비교적 짧은 기간 동안 수익을 추구하는 투자 방식으로 시장 변동을 활용하는 이것은 무엇일까요?",앞글자 '단'
보험료,"보험 계약에 따라 정기적으로 납부하는 금액으로 보장을 받기 위해 지불하는 이것은 무엇일까요?",앞글자 '보'
생명보험,"사람의 생명과 관련된 위험을 보장하는 보험으로 사망이나 상해에 대비하는 이것은 무엇일까요?",앞글자 '생'
건강보험,"질병이나 상해로 인한 의료비를 보장하는 보험으로 국민 건강을 지키는 이것은 무엇일까요?",앞글자 '건'
화재보험,"화재로 인한 재산 피해를 보상하는 보험으로 건물과 시설을 보호하는 이것은 무엇일까요?",앞글자 '화'
자동차보험,"자동차 사고로 인한 피해를 보상하는 보험으로 운전자에게 필수인 이것은 무엇일까요?",앞글자 '자'
보상,"보험 사고 발생 시 계약에 따라 지급되는 금액으로 피해를 보완하는 이것은 무엇일까요?",앞글자 '보'
온라인쇼핑,"인터넷을 통해 상품을 구매하는 방식으로 편리한 거래를 가능하게 하는 이것은 무엇일까요?",앞글자 '온'
장바구니,"온라인 쇼핑에서 구매하고 싶은 상품을 임시로 담아두는 가상의 공간으로 결제 전 상품을 모아두는 이것은 무엇일까요?",앞글자 '장'
배송료,"상품을 구매자에게 배달하는 데 드는 비용으로 택배 서비스의 대가인 이것은 무엇일까요?",앞글자 '배'
할인쿠폰,"상품 구매 시 가격을 할인 받을 수 있는 증서로 프로모션에 자주 활용되는 이것은 무엇일까요?",앞글자 '할'
적립금,"구매 금액의 일정 비율을 포인트로 적립하여 다음 구매 시 사용할 수 있는 이것은 무엇일까요?",앞글자 '적'
후기,"상품을 구매하고 사용한 경험을 공유하는 글로 다른 구매자의 결정에 도움을 주는 이것은 무엇일까요?",앞글자 '후'
페이,"스마트폰으로 간편하게 결제할 수 있는 전자 지불 시스템으로 현금 없이도 거래가 가능한 이것은 무엇일까요?",앞글자 '페'
계좌이체,"한 은행 계좌에서 다른 계좌로 돈을 보내는 거래 방식으로 직접 송금이 가능한 이것은 무엇일까요?",앞글자 '계'
인터넷뱅킹,"컴퓨터로 은행 업무를 처리할 수 있는 서비스로 온라인 금융 거래의 기본이 되는 이것은 무엇일까요?",앞글자 '인'
모바일뱅킹,"스마트폰으로 은행 업무를 처리할 수 있는 서비스로 언제 어디서나 이용 가능한 이것은 무엇일까요?",앞글자 '모'
비밀번호,"개인정보와 자산을 보호하기 위한 숫자나 문자의 조합으로 보안의 기본이 되는 이것은 무엇일까요?",앞글자 '비'
재활용,"사용한 물건을 다시 가공하여 새로운 제품으로 만드는 것으로 자원 절약에 도움이 되는 이것은 무엇일까요?",앞글자 '재'
에너지절약,"전기 물 등의 자원을 아껴 쓰는 행위로 환경 보호에 기여하는 이것은 무엇일까요?",앞글자 '에'
탄소발자국,"개인이나 기업이 활동하면서 발생시키는 이산화탄소의 양으로 환경 영향을 측정하는 이것은 무엇일까요?",앞글자 '탄'
기부,"어려운 이웃을 돕기 위해 돈이나 물품을 자발적으로 제공하는 행위로 사회공헌의 기본이 되는 이것은 무엇일까요?",앞글자 '기'
봉사활동,"대가를 바라지 않고 타인이나 사회를 위해 하는 활동으로 공동체 발전에 기여하는 이것은 무엇일까요?",앞글자 '봉'
용돈,"부모님께 받아 자유롭게 쓸 수 있는 돈으로 어린이 경제교육의 시작이 되는 이것은 무엇일까요?",앞글자 '용'
저금통,"동전이나 지폐를 모아두는 통으로 저축 습관을 기르는 데 도움이 되는 이것은 무엇일까요?",앞글자 '저'
용돈기입장,"매일의 수입과 지출을 기록하는 장부로 합리적인 소비 습관을 기르는 데 도움이 되는 이것은 무엇일까요?",앞글자 '용'
절약,"필요한 만큼만 써서 아끼는 행위로 알뜰한 생활의 기본이 되는 이것은 무엇일까요?",앞글자 '절'
비상금,"예상치 못한 상황에 대비해 따로 준비해둔 돈으로 긴급한 지출에 대비하는 이것은 무엇일까요?",앞글자 '비'
계획소비,"필요한 물건을 미리 계획하고 구매하는 소비 방식으로 충동구매를 막아주는 이것은 무엇일까요?",앞글자 '계'
광고수익,"광고를 통해 벌어들이는 수입으로 미디어 콘텐츠의 주요 수익원이 되는 이것은 무엇일까요?",앞글자 '광'
구독료,"정기적으로 콘텐츠나 서비스를 이용하기 위해 지불하는 비용으로 구독경제의 기본이 되는 이것은 무엇일까요?",앞글자 '구'
크리에이터,"온라인에서 콘텐츠를 제작하고 수익을 창출하는 사람으로 디지털 경제의 새로운 직업인 이것은 무엇일까요?",앞글자 '크'
팁,"서비스에 만족해서 추가로 지불하는 금액으로 감사의 표시로 주는 이것은 무엇일까요?",초성힌트 'ㅌ'
로열티,"지식재산권 사용에 대한 대가로 지불하는 비용으로 저작권료라고도 하는 이것은 무엇일까요?",앞글자 '로'
게임머니,"게임 내에서 사용되는 가상의 화폐로 아이템 구매에 사용되는 이것은 무엇일까요?",앞글자 '게'
아이템,"게임이나 온라인에서 사용되는 디지털 상품으로 캐릭터를 꾸미거나 능력을 향상시키는 이것은 무엇일까요?",앞글자 '아'
과금,"게임이나 서비스 이용을 위해 현금을 지불하는 행위로 유료 콘텐츠 이용에 필요한 이것은 무엇일까요?",앞글자 '과'
거래소,"게임 아이템이나 가상자산을 사고팔 수 있는 온라인 플랫폼으로 거래가 이루어지는 이것은 무엇일까요?",앞글자 '거'
캐시,"게임이나 서비스에서 실제 돈으로 충전하여 사용하는 가상화폐로 결제수단이 되는 이것은 무엇일까요?",앞글자 '캐'
보안카드,"금융거래 시 본인확인을 위해 사용하는 숫자가 적힌 카드로 보안을 강화하는 이것은 무엇일까요?",앞글자 '보'
공인인증서,"온라인 금융거래나 전자서명에 사용되는 디지털 인증서로 신원을 증명하는 이것은 무엇일까요?",앞글자 '공'
해킹,"컴퓨터 시스템이나 네트워크에 불법적으로 접근하는 행위로 정보유출의 위험이 되는 이것은 무엇일까요?",앞글자 '해'
피싱,"개인정보를 속여서 빼내려는 사기 수법으로 금융사기의 대표적인 이것은 무엇일까요?",앞글자 '피'
메타버스,"현실세계와 같은 사회·경제적 활동이 이뤄지는 3차원 가상세계로 새로운 디지털 공간인 이것은 무엇일까요?",앞글자 '메'
핀테크,"금융과 기술을 결합한 새로운 금융서비스로 혁신적인 금융방식인 이것은 무엇일까요?",앞글자 '핀'
블록체인,"거래정보를 분산 저장하여 안전하게 보관하는 기술로 디지털 거래의 신뢰를 높이는 이것은 무엇일까요?",앞글자 '블'
심부름,"부탁받은 일을 해주고 그 대가로 받는 용돈으로 어린이의 첫 경제활동이 되는 이것은 무엇일까요?",앞글자 '심'
벼룩시장,"중고 물건을 사고파는 장터로 직접 판매 경험을 쌓을 수 있는 이것은 무엇일까요?",앞글자 '벼'
장학금,"학업 성적이 우수하거나 필요한 학생에게 지원되는 돈으로 공부를 장려하는 이것은 무엇일까요?",앞글자 '장'
아르바이트,"정식 직업이 아닌 임시로 하는 일로 경험과 용돈을 동시에 얻을 수 있는 이것은 무엇일까요?",앞글자 '아'
공정무역,"생산자에게 정당한 대가를 지불하는 거래 방식으로 윤리적 소비의 한 형태인 이것은 무엇일까요?",앞글자 '공'
지역화폐,"특정 지역에서만 사용할 수 있는 화폐로 지역경제 활성화에 도움이 되는 이것은 무엇일까요?",앞글자 '지'
기부물품,"어려운 이웃을 돕기 위해 구매하는 물건으로 나눔을 실천하는 이것은 무엇일까요?",앞글자 '기'
안전인증,"제품의 안전성을 공식적으로 보증하는 표시로 소비자 보호를 위한 이것은 무엇일까요?",앞글자 '안'
장학생,"장학금을 받아 공부하는 학생으로 학업 지원을 받는 이것은 무엇일까요?",앞글자 '장'
급식비,"학교에서 제공하는 급식의 비용으로 식사를 위해 내는 이것은 무엇일까요?",앞글자 '급'
교육비,"교육을 받기 위해 지출하는 비용으로 학습에 필요한 이것은 무엇일까요?",앞글자 '교'
문방구,"학용품을 파는 가게로 공부에 필요한 물건을 살 수 있는 이것은 무엇일까요?",앞글자 '문'
재난지원금,"국가적 재난 상황에서 정부가 국민에게 지원하는 금액으로 생활안정을 돕는 이것은 무엇일까요?",앞글자 '재'
바우처,"정부가 특정 서비스 이용을 위해 지원하는 이용권으로 복지혜택의 한 형태인 이것은 무엇일까요?",앞글자 '바'
복지카드,"복지서비스를 받을 수 있는 신분증으로 지원 대상임을 증명하는 이것은 무엇일까요?",앞글자 '복'
수당,"특별한 조건이나 상황에 따라 추가로 지급되는 돈으로 생활지원을 위한 이것은 무엇일까요?",앞글자 '수'
지원금,"정부나 기관이 특정 목적을 위해 제공하는 자금으로 도움이 필요한 이들에게 주는 이것은 무엇일까요?",앞글자 '지'
가계,"한 가정의 살림살이를 의미하는 것으로 일상적인 경제생활의 기본 단위가 되는 이것은 무엇일까요?",앞글자 '가'
생활비,"일상생활을 유지하는 데 필요한 비용으로 기본적인 지출이 되는 이것은 무엇일까요?",앞글자 '생'
공과금,"전기 수도 가스등의 사용료로 매달 정기적으로 납부하는 이것은 무엇일까요?",앞글자 '공'
가족수당,"가족이 있는 직원에게 추가로 지급되는 급여로 가족부양을 지원하는 이것은 무엇일까요?",앞글자 '가'
양육비,"자녀를 키우는 데 들어가는 비용으로 교육과 생활에 필요한 이것은 무엇일까요?",앞글자 '양'
진료비,"병원에서 치료받을 때 지불하는 비용으로 의료서비스의 대가인 이것은 무엇일까요?",앞글자 '진'
의료보험,"질병이나 상해 시 의료비 부담을 덜어주는 보험으로 국민건강을 지키는 이것은 무엇일까요?",앞글자 '의'
상해보험,"사고나 부상으로 인한 피해를 보상하는 보험으로 신체적 위험을 대비하는 이것은 무엇일까요?",앞글자 '상'
실손보험,"실제 발생한 의료비를 보상해주는 보험으로 의료비 부담을 덜어주는 이것은 무엇일까요?",앞글자 '실'
공연료,"공연을 관람하기 위해 지불하는 비용으로 문화예술 향유에 필요한 이것은 무엇일까요?",앞글자 '공'
환전,"자국 화폐를 외국 화폐로 바꾸는 것으로 해외여행에 필요한 이것은 무엇일까요?",앞글자 '환'
숙박비,"여행 중 잠자리에 드는 비용으로 숙소 이용에 필요한 이것은 무엇일까요?",앞글자 '숙'
교통비,"이동수단을 이용하는데 드는 비용으로 이동에 필요한 이것은 무엇일까요?",앞글자 '교'
여행자보험,"여행 중 발생할 수 있는 사고에 대비하는 보험으로 안전한 여행을 위한 이것은 무엇일까요?",앞글자 '여'
장난감,"놀이에 사용되는 물건으로 어린이의 즐거움을 위한 이것은 무엇일까요?",앞글자 '장'
문구류,"공부나 사무에 필요한 물품으로 필기구와 같은 이것은 무엇일까요?",앞글자 '문'
학용품,"학교생활에 필요한 물품으로 공부에 사용되는 이것은 무엇일까요?",앞글자 '학'
선물,"다른 사람에게 주는 물건으로 마음을 전하는 이것은 무엇일까요?",앞글자 '선'
기프티콘,"모바일로 선물하는 상품권으로 디지털 선물의 대표격인 이것은 무엇일까요?",앞글자 '기'
답례품,"받은 선물에 대한 보답으로 주는 물건으로 감사의 표시인 이것은 무엇일까요?",앞글자 '답'
축하금,"특별한 날을 축하하며 주는 돈으로 축하의 마음을 담은 이것은 무엇일까요?",앞글자 '축'
상품권,"물건이나 서비스를 살 수 있는 증서로 선물용으로 자주 사용되는 이것은 무엇일까요?",앞글자 '상'
천연자원,"자연에서 얻을 수 있는 귀중한 자원으로 경제활동의 기반이 되는 이것은 무엇일까요?",앞글자 '천'
재생에너지,"태양광이나 풍력처럼 고갈되지 않고 다시 사용할 수 있는 에너지로 친환경적인 이것은 무엇일까요?",앞글자 '재'
자원순환,"자원을 재활용하여 계속 사용하는 체계로 지속가능한 발전을 위한 이것은 무엇일까요?",앞글자 '자'
에너지비용,"전기나 가스 등 에너지 사용에 드는 비용으로 필수 지출항목인 이것은 무엇일까요?",앞글자 '에'
정기구독,"일정 기간마다 정기적으로 이용료를 내고 서비스를 이용하는 방식으로 새로운 소비트렌드인 이것은 무엇일까요?",앞글자 '정'
멤버십,"회원 자격을 얻어 특별한 혜택을 받는 제도로 고객 충성도를 높이는 이것은 무엇일까요?",앞글자 '멤'
이용권,"정해진 기간 동안 서비스를 이용할 수 있는 권리로 시설이나 서비스 이용시 필요한 이것은 무엇일까요?",앞글자 '이'
월정액,"매월 정기적으로 지불하는 금액으로 구독경제의 기본이 되는 이것은 무엇일까요?",앞글자 '월'
구독서비스,"정기적으로 이용료를 내고 지속적으로 제공받는 서비스로 편리한 이용이 가능한 이것은 무엇일까요?",앞글자 '구'
과제준비,"학교 숙제를 위해 필요한 준비물을 마련하는 것으로 학습에 필요한 이것은 무엇일까요?",앞글자 '과'
학원비,"학원에서 교육을 받기 위해 지불하는 비용으로 사교육비의 대표격인 이것은 무엇일까요?",앞글자 '학'
교재비,"공부에 필요한 책이나 자료를 구입하는 비용으로 학습에 필요한 이것은 무엇일까요?",앞글자 '교'
온라인강의,"인터넷을 통해 수강하는 강의로 비대면 학습의 대표적인 이것은 무엇일까요?",앞글자 '온'
과외비,"개인교습을 받기 위해 지불하는 비용으로 맞춤형 교육에 드는 이것은 무엇일까요?",앞글자 '과'
봉사시간,"다른 사람을 돕는 데 사용한 시간으로 사회공헌 활동의 척도가 되는 이것은 무엇일까요?",앞글자 '봉'
기부금,"사회에 도움이 되고자 자발적으로 내는 돈으로 나눔을 실천하는 이것은 무엇일까요?",앞글자 '기'
무료급식,"대가 없이 제공되는 급식으로 복지서비스의 하나인 이것은 무엇일까요?",앞글자 '무'
자선바자회,"물건을 팔아 얻은 수익금으로 어려운 이웃을 돕는 행사로 나눔의 장이 되는 이것은 무엇일까요?",앞글자 '자'
후원금,"지속적으로 도움을 주기 위해 정기적으로 내는 돈으로 사회공헌의 한 형태인 이것은 무엇일까요?",앞글자 '후'
저작권,"창작물에 대한 창작자의 권리로 지식재산을 보호하는 이것은 무엇일까요?",앞글자 '저'
특허,"새로운 발명이나 기술에 대한 독점적 권리로 혁신을 보호하는 이것은 무엇일까요?",앞글자 '특'
상표권,"상품의 로고나 이름에 대한 권리로 브랜드를 보호하는 이것은 무엇일까요?",앞글자 '상'
콘텐츠,"영상 음악 글 등의 창작물로 디지털 시대의 주요 상품이 되는 이것은 무엇일까요?",앞글자 '콘'
라이센스,"지식재산을 사용할 수 있는 권리로 합법적 이용을 가능하게 하는 이것은 무엇일까요?",앞글자 '라'
복권,"당첨되면 상금을 받을 수 있는 티켓으로 행운을 기대하게 하는 이것은 무엇일까요?",앞글자 '복'
경품,"행사나 이벤트에서 주는 상품으로 마케팅 수단으로 활용되는 이것은 무엇일까요?",앞글자 '경'
당첨금,"복권이나 경품에 당첨되어 받는 상금으로 행운의 결과인 이것은 무엇일까요?",앞글자 '당'
상금,"대회나 공모전에서 수상하여 받는 돈으로 성과에 대한 보상인 이것은 무엇일까요?",앞글자 '상'
보너스,"정규 급여 외에 추가로 지급되는 돈으로 특별한 보상인 이것은 무엇일까요?",앞글자 '보'
